"Latitude (decimal degrees):	38.738",,,,,,,,
"Longitude (decimal degrees):	-9.178",,,,,,,,
"Elevation (m):	107",,,,,,,,
"Radiation database:	PVGIS-SARAH2",,,,,,,,
,,,,,,,,
,,,,,,,,
Slope: 33 deg. (optimum),,,,,,,,
Azimuth: 1 deg. (optimum),,,,,,,,
"Nominal power of the PV system (c-Si) (kWp):	5061.0",,,,,,,,
"System losses (%):	14.0",,,,,,,,
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20120101:0010,0,0,0,0,0,11.63,2.41,0
20120101:0110,0,0,0,0,0,11.55,2.21,0
20120101:0210,0,0,0,0,0,11.31,2.21,0
20120101:0310,0,0,0,0,0,11.23,2.34,0
20120101:0410,0,0,0,0,0,11.16,2.48,0
20120101:0510,0,0,0,0,0,11.17,2.34,0
20120101:0610,0,0,0,0,0,11.12,2.14,0
20120101:0710,0,0,0,0,0,11.06,2.07,0
20120101:0810,0,0,0,0,0,11.23,2,0
20120101:0910,445772.88,34.7,83.62,1.58,11.09,11.83,1.93,0
20120101:1010,812442.33,50.55,149.95,2.9,18.96,12.93,2.14,0
20120101:1110,1087760.73,63.55,198.17,3.87,24.75,13.37,3.31,0
20120101:1210,1645280.49,141.62,244.82,5.13,27.85,13.44,4.14,0
20120101:1310,886079.88,24.29,192.4,3.59,27.86,13.4,4.14,0
20120101:1410,577561.32,5.83,142.14,2.59,24.76,13.36,4.28,0
20120101:1510,1503268.83,179.93,173.67,3.84,18.97,13.34,4.48,0
20120101:1610,125512.8,0,43.1,0.77,11.1,13.23,3.93,0
20120101:1710,0,0,0,0,0,13.05,3.86,0
20120101:1810,0,0,0,0,0,13.03,4.07,0
20120101:1910,0,0,0,0,0,13.25,3.93,0
20120101:2010,0,0,0,0,0,13.24,4,0
20120101:2110,0,0,0,0,0,13.13,4.28,0
20120101:2210,0,0,0,0,0,13.39,4.41,0
20120101:2310,0,0,0,0,0,13.61,4.97,0
20120102:0010,0,0,0,0,0,13.86,5.38,0
20120102:0110,0,0,0,0,0,14.19,5.38,0
20120102:0210,0,0,0,0,0,14.04,4.9,0
20120102:0310,0,0,0,0,0,13.71,4.34,0
20120102:0410,0,0,0,0,0,13.38,4.62,0
20120102:0510,0,0,0,0,0,12.96,4.55,0
20120102:0610,0,0,0,0,0,12.57,4.14,0
20120102:0710,0,0,0,0,0,12.75,3.59,0
20120102:0810,0,0,0,0,0,12.66,3.31,0
20120102:0910,1640674.98,303.67,88.25,2.74,11.09,12.76,3.24,0
20120102:1010,2502360.84,458.33,133.1,5.03,18.98,13.61,3.03,0
20120102:1110,1095706.5,65.36,199.48,3.91,24.8,14.23,2.9,0
20120102:1210,3045659.19,509.62,216.76,7.15,27.93,14.75,3.45,0
